id,class
validation.00596.au,pop
validation.02436.au,metal
validation.02930.au,pop
validation.03364.au,rock
validation.03550.au,disco
validation.04625.au,classical
validation.07561.au,country
validation.07642.au,reggae
validation.09065.au,rock
validation.09885.au,country
validation.12150.au,disco
validation.13350.au,blues
validation.16676.au,reggae
validation.17817.au,jazz
validation.18392.au,reggae
validation.18794.au,country
validation.18828.au,country
validation.19082.au,jazz
validation.21589.au,country
validation.23193.au,blues
validation.23211.au,country
validation.23301.au,blues
validation.24620.au,classical
validation.25407.au,metal
validation.26050.au,disco
validation.26581.au,metal
validation.28540.au,country
validation.28558.au,metal
validation.29001.au,hiphop
validation.29659.au,blues
validation.30482.au,reggae
validation.30768.au,country
validation.32510.au,pop
validation.32787.au,country
validation.33033.au,rock
validation.33529.au,hiphop
validation.34800.au,country
validation.34835.au,metal
validation.34938.au,blues
validation.36126.au,pop
validation.39797.au,metal
validation.41870.au,metal
validation.43948.au,disco
validation.44485.au,blues
validation.47303.au,disco
validation.49246.au,pop
validation.51339.au,disco
validation.51932.au,disco
validation.52165.au,classical
validation.52376.au,jazz
validation.53339.au,jazz
validation.54199.au,country
validation.56037.au,pop
validation.60352.au,rock
validation.62461.au,classical
validation.62917.au,pop
validation.64717.au,pop
validation.65355.au,hiphop
validation.66836.au,metal
validation.67898.au,pop
validation.68246.au,rock
validation.68504.au,country
validation.68600.au,metal
validation.69645.au,classical
validation.70325.au,blues
validation.70514.au,pop
validation.70521.au,rock
validation.70709.au,hiphop
validation.71178.au,blues
validation.71558.au,blues
validation.72738.au,hiphop
validation.72918.au,classical
validation.73325.au,reggae
validation.73749.au,jazz
validation.76427.au,pop
validation.76541.au,pop
validation.77219.au,classical
validation.79401.au,classical
validation.80325.au,country
validation.80446.au,blues
validation.80480.au,blues
validation.81197.au,jazz
validation.84038.au,country
validation.86647.au,rock
validation.87593.au,metal
validation.87812.au,country
validation.88839.au,metal
validation.89176.au,jazz
validation.89749.au,jazz
validation.91278.au,blues
validation.91579.au,jazz
validation.93577.au,hiphop
validation.94066.au,jazz
validation.94863.au,jazz
validation.95021.au,country
validation.95763.au,hiphop
validation.96483.au,country
validation.97080.au,rock
validation.97638.au,blues
validation.97760.au,pop
