id,class
validation.00596.au,metal
validation.02436.au,disco
validation.02930.au,classical
validation.03364.au,reggae
validation.03550.au,reggae
validation.04625.au,blues
validation.07561.au,blues
validation.07642.au,jazz
validation.09065.au,classical
validation.09885.au,rock
validation.12150.au,reggae
validation.13350.au,classical
validation.16676.au,reggae
validation.17817.au,disco
validation.18392.au,country
validation.18794.au,reggae
validation.18828.au,blues
validation.19082.au,country
validation.21589.au,disco
validation.23193.au,country
validation.23211.au,blues
validation.23301.au,jazz
validation.24620.au,pop
validation.25407.au,disco
validation.26050.au,reggae
validation.26581.au,blues
validation.28540.au,disco
validation.28558.au,reggae
validation.29001.au,metal
validation.29659.au,reggae
validation.30482.au,blues
validation.30768.au,reggae
validation.32510.au,rock
validation.32787.au,jazz
validation.33033.au,reggae
validation.33529.au,disco
validation.34800.au,reggae
validation.34835.au,rock
validation.34938.au,reggae
validation.36126.au,country
validation.39797.au,metal
validation.41870.au,metal
validation.43948.au,country
validation.44485.au,disco
validation.47303.au,metal
validation.49246.au,disco
validation.51339.au,pop
validation.51932.au,classical
validation.52165.au,reggae
validation.52376.au,disco
validation.53339.au,pop
validation.54199.au,metal
validation.56037.au,reggae
validation.60352.au,classical
validation.62461.au,disco
validation.62917.au,pop
validation.64717.au,metal
validation.65355.au,metal
validation.66836.au,disco
validation.67898.au,pop
validation.68246.au,rock
validation.68504.au,pop
validation.68600.au,reggae
validation.69645.au,reggae
validation.70325.au,blues
validation.70514.au,metal
validation.70521.au,reggae
validation.70709.au,country
validation.71178.au,rock
validation.71558.au,reggae
validation.72738.au,pop
validation.72918.au,pop
validation.73325.au,disco
validation.73749.au,reggae
validation.76427.au,jazz
validation.76541.au,pop
validation.77219.au,rock
validation.79401.au,reggae
validation.80325.au,rock
validation.80446.au,reggae
validation.80480.au,jazz
validation.81197.au,reggae
validation.84038.au,jazz
validation.86647.au,disco
validation.87593.au,metal
validation.87812.au,disco
validation.88839.au,pop
validation.89176.au,blues
validation.89749.au,country
validation.91278.au,blues
validation.91579.au,reggae
validation.93577.au,disco
validation.94066.au,reggae
validation.94863.au,blues
validation.95021.au,classical
validation.95763.au,metal
validation.96483.au,classical
validation.97080.au,classical
validation.97638.au,blues
validation.97760.au,blues
