id,class
validation.00596.au,classical
validation.02436.au,blues
validation.02930.au,classical
validation.03364.au,classical
validation.03550.au,blues
validation.04625.au,blues
validation.07561.au,classical
validation.07642.au,classical
validation.09065.au,blues
validation.09885.au,classical
validation.12150.au,classical
validation.13350.au,blues
validation.16676.au,blues
validation.17817.au,country
validation.18392.au,classical
validation.18794.au,blues
validation.18828.au,country
validation.19082.au,blues
validation.21589.au,country
validation.23193.au,blues
validation.23211.au,blues
validation.23301.au,blues
validation.24620.au,blues
validation.25407.au,blues
validation.26050.au,classical
validation.26581.au,country
validation.28540.au,blues
validation.28558.au,classical
validation.29001.au,country
validation.29659.au,country
validation.30482.au,blues
validation.30768.au,blues
validation.32510.au,blues
validation.32787.au,blues
validation.33033.au,blues
validation.33529.au,country
validation.34800.au,country
validation.34835.au,country
validation.34938.au,blues
validation.36126.au,classical
validation.39797.au,classical
validation.41870.au,classical
validation.43948.au,classical
validation.44485.au,blues
validation.47303.au,classical
validation.49246.au,country
validation.51339.au,blues
validation.51932.au,blues
validation.52165.au,classical
validation.52376.au,country
validation.53339.au,classical
validation.54199.au,classical
validation.56037.au,country
validation.60352.au,classical
validation.62461.au,classical
validation.62917.au,classical
validation.64717.au,classical
validation.65355.au,rock
validation.66836.au,classical
validation.67898.au,country
validation.68246.au,blues
validation.68504.au,blues
validation.68600.au,blues
validation.69645.au,blues
validation.70325.au,blues
validation.70514.au,blues
validation.70521.au,classical
validation.70709.au,rock
validation.71178.au,blues
validation.71558.au,blues
validation.72738.au,blues
validation.72918.au,classical
validation.73325.au,classical
validation.73749.au,blues
validation.76427.au,country
validation.76541.au,classical
validation.77219.au,blues
validation.79401.au,classical
validation.80325.au,country
validation.80446.au,blues
validation.80480.au,blues
validation.81197.au,classical
validation.84038.au,country
validation.86647.au,classical
validation.87593.au,blues
validation.87812.au,country
validation.88839.au,country
validation.89176.au,blues
validation.89749.au,blues
validation.91278.au,country
validation.91579.au,blues
validation.93577.au,classical
validation.94066.au,country
validation.94863.au,classical
validation.95021.au,country
validation.95763.au,classical
validation.96483.au,country
validation.97080.au,classical
validation.97638.au,blues
validation.97760.au,blues
