id,class
validation.00596.au,country
validation.02436.au,metal
validation.02930.au,country
validation.03364.au,country
validation.03550.au,metal
validation.04625.au,country
validation.07561.au,jazz
validation.07642.au,country
validation.09065.au,country
validation.09885.au,country
validation.12150.au,country
validation.13350.au,jazz
validation.16676.au,country
validation.17817.au,metal
validation.18392.au,country
validation.18794.au,country
validation.18828.au,country
validation.19082.au,metal
validation.21589.au,metal
validation.23193.au,metal
validation.23211.au,country
validation.23301.au,metal
validation.24620.au,country
validation.25407.au,metal
validation.26050.au,country
validation.26581.au,metal
validation.28540.au,metal
validation.28558.au,metal
validation.29001.au,metal
validation.29659.au,metal
validation.30482.au,country
validation.30768.au,country
validation.32510.au,metal
validation.32787.au,country
validation.33033.au,country
validation.33529.au,metal
validation.34800.au,metal
validation.34835.au,metal
validation.34938.au,country
validation.36126.au,blues
validation.39797.au,metal
validation.41870.au,metal
validation.43948.au,country
validation.44485.au,country
validation.47303.au,country
validation.49246.au,metal
validation.51339.au,country
validation.51932.au,country
validation.52165.au,country
validation.52376.au,country
validation.53339.au,country
validation.54199.au,country
validation.56037.au,country
validation.60352.au,hiphop
validation.62461.au,metal
validation.62917.au,metal
validation.64717.au,metal
validation.65355.au,metal
validation.66836.au,metal
validation.67898.au,country
validation.68246.au,metal
validation.68504.au,country
validation.68600.au,country
validation.69645.au,metal
validation.70325.au,metal
validation.70514.au,metal
validation.70521.au,country
validation.70709.au,country
validation.71178.au,metal
validation.71558.au,metal
validation.72738.au,country
validation.72918.au,country
validation.73325.au,metal
validation.73749.au,country
validation.76427.au,country
validation.76541.au,country
validation.77219.au,metal
validation.79401.au,country
validation.80325.au,metal
validation.80446.au,metal
validation.80480.au,metal
validation.81197.au,country
validation.84038.au,country
validation.86647.au,metal
validation.87593.au,metal
validation.87812.au,country
validation.88839.au,metal
validation.89176.au,country
validation.89749.au,country
validation.91278.au,country
validation.91579.au,country
validation.93577.au,metal
validation.94066.au,country
validation.94863.au,country
validation.95021.au,hiphop
validation.95763.au,country
validation.96483.au,country
validation.97080.au,country
validation.97638.au,country
validation.97760.au,country
