id,class
validation.00596.au,metal
validation.02436.au,disco
validation.02930.au,disco
validation.03364.au,classical
validation.03550.au,classical
validation.04625.au,classical
validation.07561.au,classical
validation.07642.au,classical
validation.09065.au,metal
validation.09885.au,disco
validation.12150.au,classical
validation.13350.au,disco
validation.16676.au,classical
validation.17817.au,disco
validation.18392.au,rock
validation.18794.au,classical
validation.18828.au,classical
validation.19082.au,classical
validation.21589.au,pop
validation.23193.au,pop
validation.23211.au,classical
validation.23301.au,blues
validation.24620.au,classical
validation.25407.au,metal
validation.26050.au,disco
validation.26581.au,rock
validation.28540.au,classical
validation.28558.au,classical
validation.29001.au,metal
validation.29659.au,disco
validation.30482.au,rock
validation.30768.au,classical
validation.32510.au,rock
validation.32787.au,classical
validation.33033.au,jazz
validation.33529.au,metal
validation.34800.au,blues
validation.34835.au,rock
validation.34938.au,classical
validation.36126.au,classical
validation.39797.au,metal
validation.41870.au,metal
validation.43948.au,classical
validation.44485.au,classical
validation.47303.au,metal
validation.49246.au,disco
validation.51339.au,pop
validation.51932.au,classical
validation.52165.au,classical
validation.52376.au,disco
validation.53339.au,pop
validation.54199.au,metal
validation.56037.au,classical
validation.60352.au,disco
validation.62461.au,disco
validation.62917.au,rock
validation.64717.au,metal
validation.65355.au,metal
validation.66836.au,metal
validation.67898.au,pop
validation.68246.au,disco
validation.68504.au,pop
validation.68600.au,rock
validation.69645.au,rock
validation.70325.au,blues
validation.70514.au,metal
validation.70521.au,blues
validation.70709.au,rock
validation.71178.au,disco
validation.71558.au,pop
validation.72738.au,blues
validation.72918.au,disco
validation.73325.au,disco
validation.73749.au,classical
validation.76427.au,blues
validation.76541.au,disco
validation.77219.au,disco
validation.79401.au,classical
validation.80325.au,rock
validation.80446.au,classical
validation.80480.au,blues
validation.81197.au,classical
validation.84038.au,classical
validation.86647.au,disco
validation.87593.au,metal
validation.87812.au,disco
validation.88839.au,pop
validation.89176.au,classical
validation.89749.au,classical
validation.91278.au,classical
validation.91579.au,classical
validation.93577.au,disco
validation.94066.au,classical
validation.94863.au,classical
validation.95021.au,classical
validation.95763.au,metal
validation.96483.au,classical
validation.97080.au,metal
validation.97638.au,classical
validation.97760.au,blues
