id,class
validation.00596.au,metal
validation.02436.au,reggae
validation.02930.au,classical
validation.03364.au,country
validation.03550.au,country
validation.04625.au,metal
validation.07561.au,blues
validation.07642.au,jazz
validation.09065.au,classical
validation.09885.au,blues
validation.12150.au,pop
validation.13350.au,metal
validation.16676.au,metal
validation.17817.au,country
validation.18392.au,reggae
validation.18794.au,country
validation.18828.au,rock
validation.19082.au,jazz
validation.21589.au,metal
validation.23193.au,country
validation.23211.au,country
validation.23301.au,country
validation.24620.au,pop
validation.25407.au,pop
validation.26050.au,reggae
validation.26581.au,country
validation.28540.au,classical
validation.28558.au,country
validation.29001.au,hiphop
validation.29659.au,disco
validation.30482.au,hiphop
validation.30768.au,hiphop
validation.32510.au,reggae
validation.32787.au,reggae
validation.33033.au,country
validation.33529.au,metal
validation.34800.au,classical
validation.34835.au,country
validation.34938.au,rock
validation.36126.au,classical
validation.39797.au,blues
validation.41870.au,metal
validation.43948.au,disco
validation.44485.au,disco
validation.47303.au,hiphop
validation.49246.au,hiphop
validation.51339.au,metal
validation.51932.au,jazz
validation.52165.au,metal
validation.52376.au,disco
validation.53339.au,pop
validation.54199.au,metal
validation.56037.au,disco
validation.60352.au,blues
validation.62461.au,hiphop
validation.62917.au,pop
validation.64717.au,jazz
validation.65355.au,hiphop
validation.66836.au,rock
validation.67898.au,pop
validation.68246.au,metal
validation.68504.au,pop
validation.68600.au,reggae
validation.69645.au,reggae
validation.70325.au,pop
validation.70514.au,pop
validation.70521.au,classical
validation.70709.au,country
validation.71178.au,classical
validation.71558.au,reggae
validation.72738.au,pop
validation.72918.au,metal
validation.73325.au,disco
validation.73749.au,hiphop
validation.76427.au,reggae
validation.76541.au,pop
validation.77219.au,metal
validation.79401.au,classical
validation.80325.au,disco
validation.80446.au,jazz
validation.80480.au,country
validation.81197.au,rock
validation.84038.au,jazz
validation.86647.au,rock
validation.87593.au,disco
validation.87812.au,reggae
validation.88839.au,pop
validation.89176.au,jazz
validation.89749.au,jazz
validation.91278.au,hiphop
validation.91579.au,reggae
validation.93577.au,jazz
validation.94066.au,blues
validation.94863.au,blues
validation.95021.au,classical
validation.95763.au,country
validation.96483.au,disco
validation.97080.au,classical
validation.97638.au,disco
validation.97760.au,classical
