id,class
validation.00596.au,jazz
validation.02436.au,rock
validation.02930.au,jazz
validation.03364.au,country
validation.03550.au,country
validation.04625.au,classical
validation.07561.au,country
validation.07642.au,country
validation.09065.au,hiphop
validation.09885.au,metal
validation.12150.au,jazz
validation.13350.au,jazz
validation.16676.au,country
validation.17817.au,pop
validation.18392.au,country
validation.18794.au,country
validation.18828.au,reggae
validation.19082.au,jazz
validation.21589.au,disco
validation.23193.au,hiphop
validation.23211.au,blues
validation.23301.au,rock
validation.24620.au,pop
validation.25407.au,pop
validation.26050.au,disco
validation.26581.au,blues
validation.28540.au,country
validation.28558.au,country
validation.29001.au,metal
validation.29659.au,metal
validation.30482.au,metal
validation.30768.au,jazz
validation.32510.au,country
validation.32787.au,reggae
validation.33033.au,disco
validation.33529.au,metal
validation.34800.au,metal
validation.34835.au,pop
validation.34938.au,jazz
validation.36126.au,classical
validation.39797.au,disco
validation.41870.au,metal
validation.43948.au,blues
validation.44485.au,country
validation.47303.au,reggae
validation.49246.au,blues
validation.51339.au,disco
validation.51932.au,classical
validation.52165.au,country
validation.52376.au,reggae
validation.53339.au,pop
validation.54199.au,metal
validation.56037.au,reggae
validation.60352.au,pop
validation.62461.au,pop
validation.62917.au,pop
validation.64717.au,metal
validation.65355.au,metal
validation.66836.au,disco
validation.67898.au,disco
validation.68246.au,disco
validation.68504.au,pop
validation.68600.au,hiphop
validation.69645.au,disco
validation.70325.au,pop
validation.70514.au,metal
validation.70521.au,hiphop
validation.70709.au,blues
validation.71178.au,metal
validation.71558.au,hiphop
validation.72738.au,rock
validation.72918.au,hiphop
validation.73325.au,country
validation.73749.au,country
validation.76427.au,country
validation.76541.au,hiphop
validation.77219.au,metal
validation.79401.au,jazz
validation.80325.au,country
validation.80446.au,hiphop
validation.80480.au,rock
validation.81197.au,reggae
validation.84038.au,classical
validation.86647.au,country
validation.87593.au,metal
validation.87812.au,blues
validation.88839.au,disco
validation.89176.au,country
validation.89749.au,country
validation.91278.au,country
validation.91579.au,classical
validation.93577.au,hiphop
validation.94066.au,jazz
validation.94863.au,blues
validation.95021.au,classical
validation.95763.au,metal
validation.96483.au,country
validation.97080.au,classical
validation.97638.au,classical
validation.97760.au,hiphop
