id,class
validation.00596.au,classical
validation.02436.au,disco
validation.02930.au,classical
validation.03364.au,metal
validation.03550.au,reggae
validation.04625.au,classical
validation.07561.au,disco
validation.07642.au,classical
validation.09065.au,classical
validation.09885.au,blues
validation.12150.au,classical
validation.13350.au,classical
validation.16676.au,blues
validation.17817.au,classical
validation.18392.au,pop
validation.18794.au,classical
validation.18828.au,classical
validation.19082.au,classical
validation.21589.au,reggae
validation.23193.au,jazz
validation.23211.au,hiphop
validation.23301.au,country
validation.24620.au,pop
validation.25407.au,blues
validation.26050.au,blues
validation.26581.au,pop
validation.28540.au,classical
validation.28558.au,metal
validation.29001.au,classical
validation.29659.au,classical
validation.30482.au,metal
validation.30768.au,hiphop
validation.32510.au,classical
validation.32787.au,jazz
validation.33033.au,disco
validation.33529.au,classical
validation.34800.au,classical
validation.34835.au,classical
validation.34938.au,classical
validation.36126.au,classical
validation.39797.au,classical
validation.41870.au,blues
validation.43948.au,classical
validation.44485.au,classical
validation.47303.au,classical
validation.49246.au,disco
validation.51339.au,rock
validation.51932.au,classical
validation.52165.au,pop
validation.52376.au,blues
validation.53339.au,hiphop
validation.54199.au,metal
validation.56037.au,classical
validation.60352.au,classical
validation.62461.au,hiphop
validation.62917.au,pop
validation.64717.au,classical
validation.65355.au,blues
validation.66836.au,classical
validation.67898.au,metal
validation.68246.au,classical
validation.68504.au,disco
validation.68600.au,rock
validation.69645.au,pop
validation.70325.au,pop
validation.70514.au,hiphop
validation.70521.au,hiphop
validation.70709.au,reggae
validation.71178.au,classical
validation.71558.au,classical
validation.72738.au,rock
validation.72918.au,classical
validation.73325.au,classical
validation.73749.au,hiphop
validation.76427.au,blues
validation.76541.au,reggae
validation.77219.au,metal
validation.79401.au,metal
validation.80325.au,classical
validation.80446.au,blues
validation.80480.au,country
validation.81197.au,classical
validation.84038.au,classical
validation.86647.au,disco
validation.87593.au,country
validation.87812.au,country
validation.88839.au,hiphop
validation.89176.au,blues
validation.89749.au,reggae
validation.91278.au,classical
validation.91579.au,classical
validation.93577.au,reggae
validation.94066.au,classical
validation.94863.au,metal
validation.95021.au,classical
validation.95763.au,disco
validation.96483.au,jazz
validation.97080.au,blues
validation.97638.au,classical
validation.97760.au,jazz
