id,class
validation.00596.au,metal
validation.02436.au,pop
validation.02930.au,hiphop
validation.03364.au,pop
validation.03550.au,pop
validation.04625.au,jazz
validation.07561.au,blues
validation.07642.au,jazz
validation.09065.au,classical
validation.09885.au,metal
validation.12150.au,hiphop
validation.13350.au,classical
validation.16676.au,blues
validation.17817.au,metal
validation.18392.au,blues
validation.18794.au,disco
validation.18828.au,disco
validation.19082.au,metal
validation.21589.au,hiphop
validation.23193.au,jazz
validation.23211.au,reggae
validation.23301.au,reggae
validation.24620.au,rock
validation.25407.au,rock
validation.26050.au,reggae
validation.26581.au,pop
validation.28540.au,pop
validation.28558.au,pop
validation.29001.au,metal
validation.29659.au,metal
validation.30482.au,pop
validation.30768.au,classical
validation.32510.au,metal
validation.32787.au,jazz
validation.33033.au,metal
validation.33529.au,country
validation.34800.au,metal
validation.34835.au,jazz
validation.34938.au,classical
validation.36126.au,classical
validation.39797.au,jazz
validation.41870.au,metal
validation.43948.au,jazz
validation.44485.au,metal
validation.47303.au,classical
validation.49246.au,metal
validation.51339.au,metal
validation.51932.au,country
validation.52165.au,blues
validation.52376.au,pop
validation.53339.au,blues
validation.54199.au,blues
validation.56037.au,disco
validation.60352.au,jazz
validation.62461.au,blues
validation.62917.au,pop
validation.64717.au,jazz
validation.65355.au,rock
validation.66836.au,metal
validation.67898.au,blues
validation.68246.au,disco
validation.68504.au,metal
validation.68600.au,blues
validation.69645.au,country
validation.70325.au,rock
validation.70514.au,disco
validation.70521.au,blues
validation.70709.au,pop
validation.71178.au,disco
validation.71558.au,metal
validation.72738.au,rock
validation.72918.au,disco
validation.73325.au,classical
validation.73749.au,reggae
validation.76427.au,jazz
validation.76541.au,blues
validation.77219.au,metal
validation.79401.au,pop
validation.80325.au,metal
validation.80446.au,metal
validation.80480.au,reggae
validation.81197.au,metal
validation.84038.au,disco
validation.86647.au,pop
validation.87593.au,disco
validation.87812.au,pop
validation.88839.au,blues
validation.89176.au,blues
validation.89749.au,country
validation.91278.au,jazz
validation.91579.au,classical
validation.93577.au,reggae
validation.94066.au,jazz
validation.94863.au,pop
validation.95021.au,classical
validation.95763.au,pop
validation.96483.au,pop
validation.97080.au,disco
validation.97638.au,jazz
validation.97760.au,country
