id,class
validation.00596.au,classical
validation.02436.au,blues
validation.02930.au,classical
validation.03364.au,blues
validation.03550.au,disco
validation.04625.au,classical
validation.07561.au,disco
validation.07642.au,classical
validation.09065.au,classical
validation.09885.au,blues
validation.12150.au,country
validation.13350.au,classical
validation.16676.au,pop
validation.17817.au,classical
validation.18392.au,hiphop
validation.18794.au,classical
validation.18828.au,classical
validation.19082.au,classical
validation.21589.au,blues
validation.23193.au,classical
validation.23211.au,reggae
validation.23301.au,blues
validation.24620.au,hiphop
validation.25407.au,hiphop
validation.26050.au,classical
validation.26581.au,hiphop
validation.28540.au,disco
validation.28558.au,disco
validation.29001.au,classical
validation.29659.au,classical
validation.30482.au,blues
validation.30768.au,jazz
validation.32510.au,classical
validation.32787.au,classical
validation.33033.au,pop
validation.33529.au,classical
validation.34800.au,classical
validation.34835.au,classical
validation.34938.au,country
validation.36126.au,classical
validation.39797.au,classical
validation.41870.au,classical
validation.43948.au,classical
validation.44485.au,classical
validation.47303.au,classical
validation.49246.au,hiphop
validation.51339.au,rock
validation.51932.au,country
validation.52165.au,jazz
validation.52376.au,reggae
validation.53339.au,hiphop
validation.54199.au,reggae
validation.56037.au,classical
validation.60352.au,classical
validation.62461.au,blues
validation.62917.au,pop
validation.64717.au,classical
validation.65355.au,jazz
validation.66836.au,classical
validation.67898.au,classical
validation.68246.au,classical
validation.68504.au,jazz
validation.68600.au,rock
validation.69645.au,pop
validation.70325.au,pop
validation.70514.au,jazz
validation.70521.au,blues
validation.70709.au,disco
validation.71178.au,classical
validation.71558.au,classical
validation.72738.au,hiphop
validation.72918.au,classical
validation.73325.au,classical
validation.73749.au,blues
validation.76427.au,blues
validation.76541.au,blues
validation.77219.au,metal
validation.79401.au,pop
validation.80325.au,classical
validation.80446.au,blues
validation.80480.au,blues
validation.81197.au,classical
validation.84038.au,classical
validation.86647.au,reggae
validation.87593.au,reggae
validation.87812.au,classical
validation.88839.au,blues
validation.89176.au,classical
validation.89749.au,reggae
validation.91278.au,classical
validation.91579.au,classical
validation.93577.au,country
validation.94066.au,classical
validation.94863.au,hiphop
validation.95021.au,classical
validation.95763.au,country
validation.96483.au,blues
validation.97080.au,classical
validation.97638.au,classical
validation.97760.au,country
