id,class
validation.00596.au,rock
validation.02436.au,pop
validation.02930.au,blues
validation.03364.au,pop
validation.03550.au,pop
validation.04625.au,classical
validation.07561.au,pop
validation.07642.au,rock
validation.09065.au,classical
validation.09885.au,blues
validation.12150.au,rock
validation.13350.au,pop
validation.16676.au,pop
validation.17817.au,rock
validation.18392.au,pop
validation.18794.au,rock
validation.18828.au,country
validation.19082.au,rock
validation.21589.au,pop
validation.23193.au,rock
validation.23211.au,pop
validation.23301.au,classical
validation.24620.au,pop
validation.25407.au,pop
validation.26050.au,country
validation.26581.au,pop
validation.28540.au,rock
validation.28558.au,pop
validation.29001.au,rock
validation.29659.au,rock
validation.30482.au,pop
validation.30768.au,pop
validation.32510.au,rock
validation.32787.au,rock
validation.33033.au,classical
validation.33529.au,country
validation.34800.au,blues
validation.34835.au,rock
validation.34938.au,pop
validation.36126.au,classical
validation.39797.au,rock
validation.41870.au,classical
validation.43948.au,classical
validation.44485.au,rock
validation.47303.au,pop
validation.49246.au,rock
validation.51339.au,reggae
validation.51932.au,rock
validation.52165.au,pop
validation.52376.au,pop
validation.53339.au,pop
validation.54199.au,pop
validation.56037.au,classical
validation.60352.au,classical
validation.62461.au,pop
validation.62917.au,pop
validation.64717.au,rock
validation.65355.au,pop
validation.66836.au,rock
validation.67898.au,pop
validation.68246.au,rock
validation.68504.au,country
validation.68600.au,pop
validation.69645.au,pop
validation.70325.au,pop
validation.70514.au,pop
validation.70521.au,pop
validation.70709.au,pop
validation.71178.au,rock
validation.71558.au,rock
validation.72738.au,pop
validation.72918.au,rock
validation.73325.au,classical
validation.73749.au,pop
validation.76427.au,pop
validation.76541.au,pop
validation.77219.au,pop
validation.79401.au,pop
validation.80325.au,rock
validation.80446.au,classical
validation.80480.au,classical
validation.81197.au,rock
validation.84038.au,rock
validation.86647.au,pop
validation.87593.au,pop
validation.87812.au,rock
validation.88839.au,pop
validation.89176.au,pop
validation.89749.au,pop
validation.91278.au,blues
validation.91579.au,hiphop
validation.93577.au,reggae
validation.94066.au,classical
validation.94863.au,pop
validation.95021.au,pop
validation.95763.au,pop
validation.96483.au,pop
validation.97080.au,pop
validation.97638.au,rock
validation.97760.au,rock
